function,size,cache_lines,overlap_point,loop_point,loop_block_size,accelerator_point,optimized
memcpy_I8_O128_R_noopt,258,4,8,128,0,128,0
memcpy_I8_O128_R_opt,336,5,8,128,0,128,1
memcpy_I8_O128_B8_L256_R_noopt,319,4,8,128,8,256,0
memcpy_I8_O128_B8_L256_R_opt,408,6,8,128,8,256,1
memcpy_I8_O128_B8_L512_R_noopt,319,4,8,128,8,512,0
memcpy_I8_O128_B8_L512_R_opt,408,6,8,128,8,512,1
memcpy_I8_O128_B8_L1024_R_noopt,319,4,8,128,8,1024,0
memcpy_I8_O128_B8_L1024_R_opt,408,6,8,128,8,1024,1
memcpy_I8_O128_B8_Linf_noopt,303,4,8,128,8,-1,0
memcpy_I8_O128_B8_Linf_opt,386,6,8,128,8,-1,1
memcpy_I8_O128_B16_L256_R_noopt,339,5,8,128,16,256,0
memcpy_I8_O128_B16_L256_R_opt,421,6,8,128,16,256,1
memcpy_I8_O128_B16_L512_R_noopt,339,5,8,128,16,512,0
memcpy_I8_O128_B16_L512_R_opt,421,6,8,128,16,512,1
memcpy_I8_O128_B16_L1024_R_noopt,339,5,8,128,16,1024,0
memcpy_I8_O128_B16_L1024_R_opt,421,6,8,128,16,1024,1
memcpy_I8_O128_B16_Linf_noopt,323,5,8,128,16,-1,0
memcpy_I8_O128_B16_Linf_opt,413,6,8,128,16,-1,1
memcpy_I8_O128_B32_L256_R_noopt,355,5,8,128,32,256,0
memcpy_I8_O128_B32_L256_R_opt,433,6,8,128,32,256,1
memcpy_I8_O128_B32_L512_R_noopt,355,5,8,128,32,512,0
memcpy_I8_O128_B32_L512_R_opt,433,6,8,128,32,512,1
memcpy_I8_O128_B32_L1024_R_noopt,355,5,8,128,32,1024,0
memcpy_I8_O128_B32_L1024_R_opt,433,6,8,128,32,1024,1
memcpy_I8_O128_B32_Linf_noopt,340,5,8,128,32,-1,0
memcpy_I8_O128_B32_Linf_opt,426,6,8,128,32,-1,1
memcpy_I8_O256_R_noopt,414,6,8,256,0,256,0
memcpy_I8_O256_R_opt,511,7,8,256,0,256,1
memcpy_I8_O256_B8_L512_R_noopt,475,7,8,256,8,512,0
memcpy_I8_O256_B8_L512_R_opt,572,8,8,256,8,512,1
memcpy_I8_O256_B8_L1024_R_noopt,475,7,8,256,8,1024,0
memcpy_I8_O256_B8_L1024_R_opt,572,8,8,256,8,1024,1
memcpy_I8_O256_B8_Linf_noopt,459,7,8,256,8,-1,0
memcpy_I8_O256_B8_Linf_opt,557,8,8,256,8,-1,1
memcpy_I8_O256_B16_L512_R_noopt,495,7,8,256,16,512,0
memcpy_I8_O256_B16_L512_R_opt,585,9,8,256,16,512,1
memcpy_I8_O256_B16_L1024_R_noopt,495,7,8,256,16,1024,0
memcpy_I8_O256_B16_L1024_R_opt,585,9,8,256,16,1024,1
memcpy_I8_O256_B16_Linf_noopt,479,7,8,256,16,-1,0
memcpy_I8_O256_B16_Linf_opt,577,9,8,256,16,-1,1
memcpy_I8_O256_B32_L512_R_noopt,511,7,8,256,32,512,0
memcpy_I8_O256_B32_L512_R_opt,601,9,8,256,32,512,1
memcpy_I8_O256_B32_L1024_R_noopt,511,7,8,256,32,1024,0
memcpy_I8_O256_B32_L1024_R_opt,601,9,8,256,32,1024,1
memcpy_I8_O256_B32_Linf_noopt,496,7,8,256,32,-1,0
memcpy_I8_O256_B32_Linf_opt,593,9,8,256,32,-1,1
memcpy_I8_O256_B64_L512_R_noopt,543,8,8,256,64,512,0
memcpy_I8_O256_B64_L512_R_opt,633,9,8,256,64,512,1
memcpy_I8_O256_B64_L1024_R_noopt,543,8,8,256,64,1024,0
memcpy_I8_O256_B64_L1024_R_opt,633,9,8,256,64,1024,1
memcpy_I8_O256_B64_Linf_noopt,528,8,8,256,64,-1,0
memcpy_I8_O256_B64_Linf_opt,625,9,8,256,64,-1,1
memcpy_I16_R_noopt,199,3,16,16,0,16,0
memcpy_I16_R_opt,304,4,16,16,0,16,1
memcpy_I16_O32_R_noopt,226,3,16,32,0,32,0
memcpy_I16_O32_R_opt,344,5,16,32,0,32,1
memcpy_I16_O32_B8_L64_R_noopt,292,4,16,32,8,64,0
memcpy_I16_O32_B8_L64_R_opt,404,6,16,32,8,64,1
memcpy_I16_O32_B8_L128_R_noopt,292,4,16,32,8,128,0
memcpy_I16_O32_B8_L128_R_opt,411,6,16,32,8,128,1
memcpy_I16_O32_B8_L256_R_noopt,292,4,16,32,8,256,0
memcpy_I16_O32_B8_L256_R_opt,411,6,16,32,8,256,1
